country,sitename,province,locname,loclong,loclat,recs,presses,post_0,ante_0,post_1,ante_1
Tunisia,"Djebel Gorra","Africa Proconsularis",none,9.13556821,36.4647856,1,3,-999,999,-999,999
Tunisia,"Djebel Gorra","Africa Proconsularis",none,9.18187571,36.4802508,1,5,-999,999,-999,999
Tunisia,"Djebel Gorra","Africa Proconsularis",none,9.18268804,36.4754574,1,2,-999,999,-999,999
Tunisia,Dougga,"Africa Proconsularis","De Vos 2",9.170828,36.43998,1,3,-40,100,300,440
Tunisia,Dougga,"Africa Proconsularis",none,9.18793949,36.3984556,1,2,100,300,530,690
Tunisia,Dougga,"Africa Proconsularis",none,9.19067723,36.4201472,1,3,300,440,530,690
Tunisia,Dougga,"Africa Proconsularis",none,9.19267533,36.4250486,1,2,100,300,300,450
Tunisia,Dougga,"Africa Proconsularis",none,9.19321538,36.4396792,1,3,-200,-40,530,690
Tunisia,Dougga,"Africa Proconsularis",none,9.19826599,36.4284603,1,2,-200,-40,300,440
Tunisia,Dougga,"Africa Proconsularis",none,9.203165,36.427206,1,2,100,300,300,440
Tunisia,Dougga,"Africa Proconsularis",none,9.208521,36.440619,1,2,100,300,530,690
Tunisia,Dougga,"Africa Proconsularis",none,9.21763,36.434004,1,3,300,440,530,690
Tunisia,Dougga,"Africa Proconsularis",none,9.21970409,36.4019043,1,5,100,300,300,440
Tunisia,Dougga,"Africa Proconsularis",none,9.22,36.4236111,1,7,-999,999,-999,999
Tunisia,Dougga,"Africa Proconsularis",none,9.22750169,36.4360123,1,2,100,700,100,700
Tunisia,Dougga,"Africa Proconsularis",none,9.227908,36.431598,1,4,-200,-40,530,690
Tunisia,Dougga,"Africa Proconsularis",none,9.23527707,36.4234619,1,3,300,440,300,440
Tunisia,"Henchir Choud el-Battal","Africa Proconsularis",none,8.52361111,35.125,1,6,-999,999,-999,999
Tunisia,"Henchir el-Goussa ","Africa Proconsularis",none,8.55,36.05,1,6,-999,999,-999,999
Tunisia,"Henchir el-Kousset","Africa Proconsularis",none,8.65222222,35.1363888,1,6,-999,999,-999,999
Tunisia,"Henchir et-Touil","Africa Proconsularis","KS 223",0.0,0.0,1,4,-999,999,-999,999
Tunisia,"Henchir et-Touil","Africa Proconsularis","KS 225",9.10777777,35.3213888,1,4,-999,999,-999,999
Tunisia,Henchir-el-Begar,"Africa Proconsularis","Henchir el Begar",8.893052,35.449216,1,10,-999,999,-999,999
Tunisia,"Ksar el-Guelal","Africa Proconsularis","KS 031",9.07416666,35.2386111,1,18,-999,999,-999,999
Tunisia,Maatria,"Africa Proconsularis",none,9.22279633,36.4841521,1,2,-999,999,-999,999
Tunisia,Maatria,"Africa Proconsularis",none,9.22414942,36.4886695,1,2,-999,999,-999,999
Tunisia,Maatria,"Africa Proconsularis",none,9.22621607,36.4841078,1,2,-999,999,-999,999
Tunisia,Maatria,"Africa Proconsularis",none,9.23198663,36.4858598,1,2,-999,999,-999,999
Tunisia,Maatria,"Africa Proconsularis",none,9.23963326,36.4946028,1,3,-999,999,-999,999
Tunisia,Maatria,"Africa Proconsularis",none,9.25423772,36.5115557,1,3,-999,999,-999,999
Tunisia,Maatria,"Africa Proconsularis",none,9.26005076,36.50032,1,2,-999,999,-999,999
Tunisia,Maatria,"Africa Proconsularis",none,9.26115446,36.5092775,1,7,-999,999,-999,999
Tunisia,Maatria,"Africa Proconsularis",none,9.26634793,36.5003663,1,3,-999,999,-999,999
Tunisia,"Oued Arkou","Africa Proconsularis",none,9.13210004,36.4329255,1,2,300,450,300,450
Tunisia,"Oued Arkou","Africa Proconsularis",none,9.14154918,36.4133715,1,5,-999,999,-999,999
Tunisia,"Oued Arkou","Africa Proconsularis",none,9.1471877,36.4115989,1,2,-999,999,-999,999
Tunisia,"Oued Arkou","Africa Proconsularis",none,9.1486579,36.4307499,1,3,100,300,300,440
Tunisia,"Oued El Guetoussia","Africa Proconsularis",none,9.186056,36.408379,1,2,300,440,530,690
Tunisia,"Oued El Guetoussia","Africa Proconsularis",none,9.190129,36.403706,1,8,100,300,530,690
Tunisia,Suttua,"Africa Proconsularis",none,9.109037,36.449233,1,11,100,300,440,530
Tunisia,Tamesmida,"Africa Proconsularis",none,8.38333333,35.0833333,1,8,-999,999,-999,999
Tunisia,Teboursouk,"Africa Proconsularis",none,9.25413392,36.4755143,1,2,-999,999,-999,999
Tunisia,Teboursouk,"Africa Proconsularis",none,9.258595,36.46397,1,3,-999,999,-999,999
Tunisia,Teboursouk,"Africa Proconsularis",none,9.31270865,36.4695813,1,5,-999,999,-999,999
Tunisia,Teboursouk,"Africa Proconsularis",none,9.34885571,36.4735427,1,3,-999,999,-999,999
Tunisia,"Uchi Maius","Africa Proconsularis",none,9.08333333,36.3333333,1,11,400,700,400,700
Turkey,Akkale,Cilicia,none,29.14833333,37.8122222,1,2,-999,999,-999,999
Turkey,Pachna,Cyprus,"Ayios Stephanos",32.79555556,34.7791666,1,2,-999,999,-999,999
Ukraine,Chersonesos,"Bosporan Kingdom",none,33.49333333,44.6116666,1,2,-999,999,-999,999
Ukraine,Hermonassa,"Bosporan Kingdom",H1,36.72305556,45.2161111,1,3,-999,999,-999,999
Ukraine,Hermonassa,"Bosporan Kingdom",H2,36.72305556,45.2161111,1,3,-999,999,-999,999
Ukraine,Iluratum,"Bosporan Kingdom","I 1",47.75,63.3333333,1,3,-999,999,-999,999
Ukraine,Mirmekion,"Bosporan Kingdom",M1,36.51944444,45.3525,1,3,-999,999,-999,999
Ukraine,Mirmekion,"Bosporan Kingdom",M2,36.51944444,45.3525,1,3,-999,999,-999,999
Ukraine,Mirmekion,"Bosporan Kingdom",M3,36.51944444,45.3525,1,3,-999,999,-999,999
Ukraine,"Olbia (Crimea)","Bosporan Kingdom",O1,31.9,46.6830555,1,3,-999,999,-999,999
Ukraine,"Olbia (Crimea)","Bosporan Kingdom",O4,31.9,46.6830555,1,2,-999,999,-999,999
Ukraine,Patraesis,"Bosporan Kingdom","Pt 1",0.0,0.0,1,3,-999,999,-999,999
Ukraine,Patraesis,"Bosporan Kingdom","Pt 2",0.0,0.0,1,5,-999,999,-999,999
Ukraine,Phanagoria,"Bosporan Kingdom",Ph2,36.825,45.1888888,1,3,-999,999,-999,999
Ukraine,Piatikolodeznoe,"Bosporan Kingdom",none,0.0,0.0,1,3,-999,999,-999,999
Ukraine,Tenirgora,"Bosporan Kingdom",none,35.37916667,45.0488888,1,2,-999,999,-999,999
Ukraine,Tyritake,"Bosporan Kingdom",T2,36.41722222,45.2363888,1,2,-999,999,-999,999
Ukraine,Tyritake,"Bosporan Kingdom",T3,36.41722222,45.2363888,1,2,-999,999,-999,999
Ukraine,Tyritake,"Bosporan Kingdom",T4,36.41722222,45.2363888,1,3,-999,999,-999,999
Ukraine,Tyritake,"Bosporan Kingdom",T7,36.41722222,45.2363888,1,5,-999,999,-999,999
,,,,,,0,6,,,,
