time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-19T00:21:48.190Z,38.8064995,-122.8126678,2.31,1.37,md,21,55,0.01311,0.03,nc,nc72841741,2017-07-19T02:22:02.368Z,"Northern California",earthquake,0.23,0.39,0.07,6,automatic,nc,nc
2017-07-19T00:20:05.580Z,36.0393,-97.1537,2.97,3.5,mb_lg,,27,0.114,0.29,us,us20009xry,2017-07-19T05:30:32.638Z,"Oklahoma",earthquake,1.1,7.8,0.046,123,reviewed,us,us
2017-07-19T00:02:46.240Z,37.5499992,-118.8341675,-0.22,1.33,md,11,190,0.04016,0.04,nc,nc72841726,2017-07-19T00:08:02.938Z,"Central California",earthquake,0.66,1.9,0.2,12,automatic,nc,nc
2017-07-18T23:42:39.580Z,60.2444,-150.8801,73.97,4,ml,,65,0.495,0.47,us,us20009xru,2017-07-19T08:49:24.659Z,"Kenai Peninsula, Alaska",earthquake,4.2,9.3,0.03,142,reviewed,us,us
2017-07-18T23:32:54.570Z,37.475666,-118.8373337,2.44,1.41,md,14,195,0.09279,0.03,nc,nc72841691,2017-07-19T01:30:04.258Z,"Central California",earthquake,0.57,1.32,0.16,12,automatic,nc,nc
2017-07-18T23:32:43.940Z,35.0498333,-117.6761667,-0.78,1.49,ml,15,128,0.1164,0.09,ci,ci37706639,2017-07-18T23:49:19.029Z,"6km NNW of Boron, CA",quarry blast,0.35,31.61,0.1,19,reviewed,ci,ci
2017-07-18T23:22:08.780Z,33.1353333,-116.281,9.43,1,ml,30,94,0.06152,0.18,ci,ci37706631,2017-07-18T23:45:29.891Z,"14km W of Ocotillo Wells, CA",earthquake,0.27,0.68,0.171,23,reviewed,ci,ci
2017-07-18T23:13:58.260Z,45.1706667,-123.7356667,15.6,2.3,ml,10,126,0.04505,0.07,uw,uw61283087,2017-07-19T01:19:39.800Z,"Oregon",earthquake,0.31,0.55,0.102,8,reviewed,uw,uw
2017-07-18T22:22:33.830Z,46.6048333,-119.8243333,6.89,1.3,ml,11,207,0.04364,0.05,uw,uw61283072,2017-07-18T22:41:44.890Z,"10km SE of Desert Aire, Washington",earthquake,0.65,0.36,0.109,11,reviewed,uw,uw
2017-07-18T22:20:49.210Z,37.5525017,-118.8324966,0.8,1.9,md,19,159,0.03756,0.04,nc,nc72841651,2017-07-18T23:19:58.514Z,"16km SE of Mammoth Lakes, California",earthquake,0.41,0.86,0.43,15,automatic,nc,nc
2017-07-18T22:20:23.220Z,37.5496674,-118.8336639,0.06,1.75,md,15,139,0.04045,0.03,nc,nc72841646,2017-07-18T22:26:02.821Z,"16km SE of Mammoth Lakes, California",earthquake,0.36,3.92,0.43,14,automatic,nc,nc
2017-07-18T22:15:38.950Z,33.1695,-115.9723333,5.66,1.36,ml,45,66,0.1109,0.2,ci,ci37706591,2017-07-18T23:42:53.720Z,"14km S of Salton City, CA",earthquake,0.22,0.77,0.146,24,reviewed,ci,ci
2017-07-18T21:59:52.270Z,35.8749,-96.6953,4.95,3,mb_lg,,50,0.089,0.3,us,us20009xqw,2017-07-19T00:39:12.203Z,"13km SSE of Cushing, Oklahoma",earthquake,1.7,3.3,0.05,106,reviewed,us,us
2017-07-18T21:48:52.900Z,46.3598333,-122.2686667,18.09,1.89,ml,17,83,0.03691,0.15,uw,uw61283067,2017-07-18T22:45:53.312Z,"22km S of Morton, Washington",earthquake,0.7,0.68,0.156,12,reviewed,uw,uw
2017-07-18T21:48:42.450Z,37.5666656,-118.8454971,0,1.57,md,16,194,0.02671,0.03,nc,nc72841626,2017-07-18T22:00:03.752Z,"14km SE of Mammoth Lakes, California",earthquake,0.31,0.58,0.18,13,automatic,nc,nc
2017-07-18T21:46:30.230Z,37.5335007,-118.8436661,0.17,1.62,md,12,176,0.08671,0.05,nc,nc72841621,2017-07-18T21:58:04.752Z,"17km SE of Mammoth Lakes, California",earthquake,0.72,7.91,0.19,12,automatic,nc,nc
2017-07-18T21:32:05.160Z,31.4755,-115.4936667,2.6,2.63,ml,8,137,0.262,0.05,ci,ci37706535,2017-07-18T23:35:08.049Z,"89km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.1,0.42,0.154,13,reviewed,ci,ci
2017-07-18T21:31:12.580Z,37.5611649,-118.8918304,1.03,2.31,md,26,118,0.05416,0.05,nc,nc72841611,2017-07-18T22:51:03.879Z,"12km SE of Mammoth Lakes, California",earthquake,0.28,0.91,0.18,24,automatic,nc,nc
2017-07-18T21:13:56.680Z,49.4835,-120.5651667,-1.5,2.16,ml,9,301,0.9649,0.09,uw,uw61283057,2017-07-18T21:30:46.560Z,"4km NW of Princeton, Canada",explosion,1.59,31.61,0.065,7,reviewed,uw,uw
2017-07-18T20:54:09.960Z,44.7831667,-111.0315,8.13,1.08,md,10,163,0.0299,0.09,uu,uu60217747,2017-07-18T21:23:13.740Z,"14km NNE of West Yellowstone, Montana",earthquake,0.53,0.72,0.351,6,reviewed,uu,uu
2017-07-18T20:52:45.190Z,44.7935,-111.035,9.93,2.88,ml,25,49,0.03987,0.15,uu,uu60217742,2017-07-19T04:59:07.502Z,"15km NNE of West Yellowstone, Montana",earthquake,0.35,0.42,0.226,6,reviewed,uu,uu
2017-07-18T20:40:24.960Z,44.7915,-111.04,10.22,2.83,ml,24,48,0.0402,0.14,uu,uu60217712,2017-07-19T04:43:50.165Z,"15km NNE of West Yellowstone, Montana",earthquake,0.38,0.45,0.232,6,reviewed,uu,uu
2017-07-18T20:33:56.380Z,44.7811667,-111.0275,7.81,2.19,ml,15,113,0.0266,0.15,uu,uu60217697,2017-07-19T04:38:57.955Z,"14km NNE of West Yellowstone, Montana",earthquake,0.4,0.44,0.152,3,reviewed,uu,uu
2017-07-18T20:32:18.790Z,44.7701667,-111.0306667,8.21,1.32,md,7,145,0.02055,0.09,uu,uu60217702,2017-07-18T21:54:07.920Z,"13km NNE of West Yellowstone, Montana",earthquake,0.64,1.15,0.428,5,reviewed,uu,uu
2017-07-18T20:31:10.470Z,44.7875,-111.0378333,10.51,3.61,ml,33,46,0.03609,0.15,uu,uu60217692,2017-07-18T23:00:09.950Z,"13km NNE of West Yellowstone, Montana",earthquake,0.31,0.37,0.218,17,reviewed,uu,uu
2017-07-18T20:22:43.400Z,38.8349991,-122.7955017,1.86,1.39,md,25,66,0.005274,0.03,nc,nc72841561,2017-07-18T20:24:20.214Z,"6km WNW of Cobb, California",earthquake,0.23,0.31,0.14,8,automatic,nc,nc
2017-07-18T20:18:40.740Z,53.2834,171.91,24.9,5.1,mb,,93,1.436,0.61,us,us20009xp9,2017-07-18T20:42:59.969Z,"98km WNW of Attu Station, Alaska",earthquake,9.1,4.6,0.026,496,reviewed,us,us
2017-07-18T20:06:16.850Z,-31.837,179.7797,435.64,4.4,mb,,70,3.252,0.89,us,us20009xny,2017-07-18T21:48:40.040Z,"133km WSW of L'Esperance Rock, New Zealand",earthquake,12.3,5.3,0.089,36,reviewed,us,us
2017-07-18T19:43:11.100Z,18.1425,-67.2528,19,2.56,md,9,185,0.1703,0.25,pr,pr2017199010,2017-07-18T23:51:22.381Z,"Mona Passage, Puerto Rico",earthquake,0.99,0.63,0.17,6,reviewed,pr,pr
2017-07-18T19:42:06.000Z,37.4741669,-118.8363342,2.21,1.5,md,14,173,0.1158,0.03,nc,nc72841546,2017-07-18T19:50:02.483Z,"22km SSE of Mammoth Lakes, California",earthquake,0.86,1.81,0.15,11,automatic,nc,nc
2017-07-18T19:35:39.100Z,35.2285,-97.8842,15.9,2.6,mb_lg,,48,0.156,0.48,us,us20009xna,2017-07-19T03:38:47.778Z,"9km SW of Tuttle, Oklahoma",earthquake,1.5,5.1,0.06,72,reviewed,us,us
2017-07-18T19:31:23.740Z,55.154,166.9373,10,4.8,mb,,120,4.879,1.19,us,us20009xnb,2017-07-18T21:21:39.040Z,"60km E of Nikol'skoye, Russia",earthquake,8,1.9,0.033,279,reviewed,us,us
2017-07-18T19:24:42.960Z,37.6173325,-118.8116684,-2.27,1.38,md,9,126,0.02817,0.2,nc,nc72841531,2017-07-18T21:17:03.685Z,"14km ESE of Mammoth Lakes, California",earthquake,0.51,0.89,0.21,10,automatic,nc,nc
2017-07-18T19:20:50.845Z,63.2728,-148.3057,94.3,1.4,ml,,,,0.65,ak,ak16352751,2017-07-18T19:26:43.957Z,"34km ESE of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-07-18T19:13:17.921Z,60.4569,-147.4245,11.6,1.6,ml,,,,0.55,ak,ak16352749,2017-07-18T19:25:02.619Z,"77km ESE of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-07-18T19:08:51.640Z,38.8396683,-122.828331,1.89,1.14,md,14,76,0.005692,0.01,nc,nc72841521,2017-07-18T19:17:01.406Z,"9km WNW of Cobb, California",earthquake,0.24,0.52,0.06,3,automatic,nc,nc
2017-07-18T19:06:31.781Z,60.1704,-150.8408,50.4,1.9,ml,,,,0.61,ak,ak16352747,2017-07-18T19:25:02.374Z,"33km SE of Cohoe, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-07-18T19:01:06.930Z,47.1645,-121.9351667,-0.89,1.29,ml,8,76,0.04355,0.52,uw,uw61283027,2017-07-18T19:51:27.700Z,"6km SE of Enumclaw, Washington",explosion,1.21,31.61,0.094,7,reviewed,uw,uw
2017-07-18T18:25:30.020Z,0.7832,123.3305,49.13,4.9,mb,,41,1.896,0.7,us,us20009xm8,2017-07-18T21:05:20.040Z,"13km S of Bolangitang, Indonesia",earthquake,5.8,8.9,0.074,57,reviewed,us,us
2017-07-18T18:13:36.320Z,36.0176659,-120.5826645,3.08,1.58,md,18,114,0.03823,0.07,nc,nc72841506,2017-07-18T18:23:02.300Z,"24km SW of Coalinga, California",earthquake,0.35,0.66,0.15,8,automatic,nc,nc
2017-07-18T18:11:57.160Z,60.4077,-147.7409,15.3,1.5,ml,,,,0.42,ak,ak16352285,2017-07-18T18:15:53.823Z,"65km SE of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-07-18T17:50:57.790Z,36.0105019,-120.5768356,1.62,1.59,md,10,232,0.03263,0.07,nc,nc72841501,2017-07-18T18:05:04.254Z,"24km SW of Coalinga, California",earthquake,1.27,1.59,0.56,2,automatic,nc,nc
2017-07-18T17:49:50.070Z,36.0201683,-120.5871658,2.72,1.36,md,18,112,0.04237,0.08,nc,nc72841496,2017-07-18T18:02:02.247Z,"24km WSW of Coalinga, California",earthquake,0.38,0.84,0.11,7,automatic,nc,nc
2017-07-18T17:47:31.860Z,36.0166664,-120.583168,4.29,2.8,md,64,111,0.03843,0.08,nc,nc72841481,2017-07-18T19:54:36.523Z,"24km SW of Coalinga, California",earthquake,0.2,0.26,0.17,54,automatic,nc,nc
2017-07-18T17:41:19.680Z,37.2613333,-97.8735,3.7,1.7,ml,12,151,0.01785,0.04,ismpkansas,ismpkansas70231133,2017-07-19T02:12:24.850Z,"Kansas",earthquake,0.26,0.44,0.084,17,reviewed,ismp,ismp
2017-07-18T17:37:23.908Z,65.1513,-146.8889,9.7,1.1,ml,,,,0.72,ak,ak16352283,2017-07-18T17:40:49.146Z,"49km NE of Badger, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-07-18T17:30:04.410Z,38.7988319,-122.788002,-0.15,1.32,md,17,55,0.005645,0.03,nc,nc72841476,2017-07-18T19:11:02.396Z,"3km NW of The Geysers, California",earthquake,0.18,0.36,0.04,6,automatic,nc,nc
2017-07-18T17:06:28.480Z,33.977,-116.7026667,18.42,1.05,ml,35,92,0.07636,0.15,ci,ci37706407,2017-07-18T17:44:50.305Z,"10km NE of Cabazon, CA",earthquake,0.18,0.39,0.081,20,reviewed,ci,ci
2017-07-18T16:52:45.690Z,53.8276,169.2316,10,4.1,mb,,109,3.124,0.7,us,us20009xkj,2017-07-18T20:19:39.040Z,"259km SE of Nikol'skoye, Russia",earthquake,11.8,1.8,0.077,46,reviewed,us,us
2017-07-18T16:32:33.870Z,-3.8923,129.1093,55.09,4.4,mb,,47,3.279,1.43,us,us20009xkb,2017-07-18T17:04:26.040Z,"62km SE of Saparua, Indonesia",earthquake,7.6,6.5,0.115,22,reviewed,us,us
2017-07-18T16:24:52.170Z,18.1533,-67.1126,25,2.34,md,7,126,0.0349,0.19,pr,pr2017199009,2017-07-18T18:33:18.353Z,"2km NE of Hormigueros, Puerto Rico",earthquake,0.52,1.07,0.17,7,reviewed,pr,pr
2017-07-18T16:19:55.120Z,44.7901667,-111.0211667,10.23,2.45,ml,14,171,0.03263,0.11,uu,uu60217637,2017-07-18T20:47:48.870Z,"15km NNE of West Yellowstone, Montana",earthquake,0.56,0.65,0.337,4,reviewed,uu,uu
2017-07-18T16:13:20.520Z,37.5503349,-118.8161697,2.87,1.51,md,13,211,0.04094,0.04,nc,nc72841466,2017-07-18T16:19:01.989Z,"17km SE of Mammoth Lakes, California",earthquake,0.61,0.67,0.1,10,automatic,nc,nc
2017-07-18T16:06:00.980Z,46.069,-119.358,-0.34,1.38,md,8,238,0.2756,0.24,uw,uw61283002,2017-07-18T17:07:39.410Z,"16km N of Umatilla, Oregon",explosion,1.25,31.61,0.093,7,reviewed,uw,uw
2017-07-18T15:59:48.110Z,37.5321655,-118.9089966,1.11,0.97,md,8,213,0.07996,0.04,nc,nc72841461,2017-07-18T16:06:02.972Z,"14km SSE of Mammoth Lakes, California",earthquake,0.83,6.62,0.33,7,automatic,nc,nc
2017-07-18T15:55:59.305Z,38.3843,-118.893,10.7,1.8,ml,18,67.57,0.124,0.1586,nn,nn00596430,2017-07-18T16:22:36.560Z,"28km WSW of Hawthorne, Nevada",earthquake,,2.1,0.22,7,reviewed,nn,nn
2017-07-18T15:53:02.198Z,61.0375,-148.181,0,1.4,ml,,,,0.85,ak,ak16351822,2017-07-18T15:59:49.602Z,"40km NE of Whittier, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-07-18T15:08:18.912Z,53.5744,-166.7303,72.8,2.2,ml,,,,0.31,ak,ak16351370,2017-07-18T18:31:40.425Z,"35km SSW of Unalaska, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2017-07-18T15:01:01.360Z,46.6116667,-119.854,6.21,1.82,ml,19,64,0.1319,0.15,uw,uw61282922,2017-07-18T22:57:12.720Z,"8km SSE of Desert Aire, Washington",earthquake,0.31,0.34,0.152,13,reviewed,uw,uw
2017-07-18T15:00:18.690Z,34.1113333,-117.3225,17.46,1.32,ml,45,60,0.09095,0.12,ci,ci37706327,2017-07-18T20:05:23.800Z,"3km SW of San Bernardino, CA",earthquake,0.18,0.31,0.186,20,reviewed,ci,ci
2017-07-18T14:45:52.600Z,33.71,-116.7571667,15.64,1.06,ml,36,46,0.03586,0.14,ci,ci37706319,2017-07-18T15:40:54.310Z,"5km SW of Idyllwild, CA",earthquake,0.21,0.38,0.273,29,reviewed,ci,ci
